modelo,feature,metrica,pearson_r,pearson_p,spearman_r,spearman_p
deepwalk,n_nodes,stress,,,,
deepwalk,n_nodes,reconstruction_error,,,,
deepwalk,n_edges,stress,-0.7005302772650617,1.951057626271085e-15,-0.6172756093704007,2.1143304512987665e-11
deepwalk,n_edges,reconstruction_error,-0.8030947863207992,7.41240687028861e-23,-0.7455605080449649,2.9621517459211323e-18
deepwalk,density,stress,-0.7005302772650617,1.951057626271085e-15,-0.6172756093704007,2.1143304512987665e-11
deepwalk,density,reconstruction_error,-0.8030947863207992,7.41240687028861e-23,-0.7455605080449649,2.9621517459211323e-18
deepwalk,avg_clustering,stress,-0.5778143970803462,7.097631135146984e-10,-0.42052360282148665,1.9915188440811222e-05
deepwalk,avg_clustering,reconstruction_error,-0.5089738854471177,1.1895219230432355e-07,-0.4715409658166034,1.238576160554771e-06
deepwalk,avg_degree,stress,-0.7005302772650617,1.951057626271085e-15,-0.6172756093704007,2.1143304512987665e-11
deepwalk,avg_degree,reconstruction_error,-0.8030947863207993,7.41240687028861e-23,-0.7455605080449649,2.9621517459211323e-18
deepwalk,transitivity,stress,-0.6134732821272361,3.0301376239087826e-11,-0.4560379002939282,3.0217003300339977e-06
deepwalk,transitivity,reconstruction_error,-0.5410241240035725,1.264277727484781e-08,-0.5054819095319,1.4979800977520406e-07
deepwalk,degree_assortativity,stress,-0.16280692945105185,0.11299511779332301,-0.2690992946283234,0.008021121345275063
deepwalk,degree_assortativity,reconstruction_error,-0.043841902253507786,0.6714650601207741,-0.22471513836136733,0.02772604322346309
deepwalk,degree_entropy,stress,-0.09166676731988942,0.37440413412711687,-0.054788388497015734,0.59598653722971
deepwalk,degree_entropy,reconstruction_error,-0.008413682287102443,0.9351568848515662,-0.047056429734129136,0.6489152309549906
deepwalk,avg_eccentricity,stress,0.672914585350487,5.93328934890481e-14,0.5515592188058331,5.742187475322258e-09
deepwalk,avg_eccentricity,reconstruction_error,0.8737330460377122,3.5426639321485045e-31,0.7179175712418319,1.8483022762572581e-16
deepwalk,nodes_edges_ratio,stress,0.9099797403287357,1.0389604140073493e-37,0.6172756093704007,2.1143304512987665e-11
deepwalk,nodes_edges_ratio,reconstruction_error,0.9866546248111079,6.640967981460626e-76,0.7455605080449649,2.9621517459211323e-18
deepwalk,max_min_degree_ratio,stress,-0.0022018074833202762,0.9830138078537268,-0.03650028956903355,0.7240425077125165
deepwalk,max_min_degree_ratio,reconstruction_error,-0.04451653227284463,0.6667075067733466,-0.01405529482939334,0.8918877472982694
deepwalk,clustering_std,stress,0.7177402828209013,1.8949349183497215e-16,0.6194519804666305,1.7169893334289632e-11
deepwalk,clustering_std,reconstruction_error,0.7756060470399476,1.7315992715411964e-20,0.7378594682582746,9.870392163537001e-18
deepwalk,clustering_entropy,stress,-0.9052237741455557,1.0442577797021235e-36,-0.6271296798697775,8.13202903538945e-12
deepwalk,clustering_entropy,reconstruction_error,-0.7887974237151594,1.3989023163788012e-21,-0.7476125881714596,2.1337698303443903e-18
deepwalk,diameter,stress,0.6755786589854403,4.33710936585144e-14,0.6439643004468358,1.4666525737516626e-12
deepwalk,diameter,reconstruction_error,0.871514462242011,7.616492831915441e-31,0.7445334044408424,3.486595720704587e-18
deepwalk,avg_shortest_path,stress,0.697963706302116,2.7237118946541593e-15,0.5563637966791238,3.969897770007113e-09
deepwalk,avg_shortest_path,reconstruction_error,0.8918195163762854,3.8118228611974725e-34,0.7249414166530314,6.781139861734729e-17
deepwalk,radius,stress,0.6692441103033663,9.088965306892484e-14,0.7285864575416048,3.98098885630305e-17
deepwalk,radius,reconstruction_error,0.8707087652518324,1.0021988103390456e-30,0.8679686626081251,2.514425718805758e-30
walklets,n_nodes,stress,,,,
walklets,n_nodes,reconstruction_error,,,,
walklets,n_edges,stress,-0.6985823331860854,2.5140694652401844e-15,-0.6585305288353257,3.051147913672044e-13
walklets,n_edges,reconstruction_error,-0.8342663668150294,4.852833939387325e-26,-0.8571333284373732,7.887369880674385e-29
walklets,density,stress,-0.6985823331860854,2.5140694652401844e-15,-0.6585305288353257,3.051147913672044e-13
walklets,density,reconstruction_error,-0.8342663668150294,4.852833939387325e-26,-0.8571333284373732,7.887369880674385e-29
walklets,avg_clustering,stress,-0.39794483699382455,5.941674204132426e-05,-0.3301546391752577,0.0010194834923740045
walklets,avg_clustering,reconstruction_error,-0.4694962765083611,1.3966908352545226e-06,-0.47044221378187734,1.3213055064122027e-06
walklets,avg_degree,stress,-0.6985823331860854,2.5140694652401844e-15,-0.6585305288353257,3.051147913672044e-13
walklets,avg_degree,reconstruction_error,-0.8342663668150294,4.852833939387325e-26,-0.8571333284373732,7.887369880674385e-29
walklets,transitivity,stress,-0.431568810419746,1.1331043064282365e-05,-0.3663807866976666,0.00024133826586248867
walklets,transitivity,reconstruction_error,-0.4987931486494961,2.313228333720932e-07,-0.5009512376291612,2.0126625412152519e-07
walklets,degree_assortativity,stress,-0.046163826228346944,0.6551462342119648,-0.24317688551275096,0.01696891535596096
walklets,degree_assortativity,reconstruction_error,0.03145121575120309,0.7609783652252008,-0.07843190450352686,0.4475073900938792
walklets,degree_entropy,stress,0.07877575841669748,0.4455125529521783,-0.008274552360282149,0.9362268719108895
walklets,degree_entropy,reconstruction_error,0.04639023023995899,0.6535635146766849,0.045699945740640256,0.6583938367493374
walklets,avg_eccentricity,stress,0.8237033847031114,6.8335465278126e-25,0.662464787096499,1.9670410341111723e-13
walklets,avg_eccentricity,reconstruction_error,0.936424548640447,1.533723076613304e-44,0.88856921775842,1.418476593915054e-33
